	BR-A-fav_uptake_S1_L007_R1_001.fastq.trim.sam.counts	BR-B-fav_uptake_S2_L007_R1_001.fastq.trim.sam.counts	BR-C-fav_uptake_S3_L007_R1_001.fastq.trim.sam.counts	BR-D-fav_uptake_S4_L007_R1_001.fastq.trim.sam.counts	CR-A-fav_uptake_S5_L007_R1_001.fastq.trim.sam.counts	CR-B-fav_uptake_S6_L007_R1_001.fastq.trim.sam.counts	CR-C-fav_uptake_S7_L007_R1_001.fastq.trim.sam.counts	DR-A-fav_uptake_S8_L007_R1_001.fastq.trim.sam.counts	DR-B-fav_uptake_S9_L007_R1_001.fastq.trim.sam.counts	DR-C-fav_uptake_S10_L007_R1_001.fastq.trim.sam.counts	DR-D-fav_uptake_S11_L007_R1_001.fastq.trim.sam.counts	
ofav0	0	2	462	0	0	0	0	109	0	13	272	
ofav100027	1	0	2	0	0	0	0	4	0	0	1	
ofav100029	0	0	0	0	0	0	0	1	0	0	5	
ofav10004	0	0	2	0	0	0	0	0	0	0	0	
ofav100049	3	0	5	0	0	0	0	2	0	0	5	
ofav10007	0	0	1	0	0	0	0	0	0	0	0	
ofav100071	0	0	1	0	0	0	0	1	0	0	0	
ofav100084	0	2	7	0	0	0	0	0	0	0	2	
ofav100107	1	1	113	0	0	0	0	60	0	2	239	
ofav100112	0	0	20	0	0	0	0	16	0	0	18	
ofav100161	0	0	0	0	0	0	0	1	0	0	0	
ofav100196	0	0	7	0	0	0	0	0	0	0	1	
ofav100233	0	0	2	0	0	0	0	0	0	0	0	
ofav100240	0	0	5	0	0	0	0	5	0	0	8	
ofav100297	0	0	1	0	0	0	0	0	0	0	0	
ofav100312	0	0	0	0	0	0	0	4	0	0	4	
ofav100343	0	0	2	0	0	0	0	7	0	0	3	
ofav100354	0	0	8	0	0	0	0	0	0	0	5	
ofav100376	0	0	0	0	0	0	0	0	0	0	1	
ofav10039	0	0	12	0	0	0	0	4	0	0	16	
ofav100393	0	0	17	0	0	0	0	5	0	0	7	
ofav100415	0	0	5	0	0	0	0	4	0	0	1	
ofav100419	3	2	57	0	0	0	0	27	0	5	30	
ofav100429	0	0	8	0	0	0	0	1	0	0	0	
ofav100459	0	0	1	0	0	0	0	0	0	0	0	
ofav100468	2	0	6	0	0	0	0	17	0	0	12	
ofav100479	0	0	0	0	0	0	0	0	0	0	1	
ofav100505	0	0	4	0	0	0	0	1	0	0	11	
ofav100515	0	0	15	0	0	0	0	24	0	2	16	
ofav10053	0	0	0	0	0	0	0	2	0	0	1	
