BR.A	BR.B	BR.C	DR.A	DR.C	DR.D
ofav0	0	2	44	8	13	21
ofav100027	1	0	1	0	0	0
ofav100029	0	0	0	0	0	2
ofav10004	0	0	0	0	0	0
ofav100049	3	0	0	0	0	0
ofav10007	0	0	0	0	0	0
ofav100071	0	0	0	0	0	0
ofav100084	0	2	0	0	0	1
ofav100107	1	1	10	4	2	10
ofav100112	0	0	3	4	0	4
ofav100161	0	0	0	1	0	0
ofav100196	0	0	0	0	0	0
ofav100233	0	0	0	0	0	0
ofav100240	0	0	0	0	0	1
ofav100297	0	0	0	0	0	0
ofav100312	0	0	0	0	0	0
ofav100343	0	0	0	0	0	0
ofav100354	0	0	4	0	0	1
ofav100376	0	0	0	0	0	1
ofav10039	0	0	1	0	0	1
ofav100393	0	0	1	1	0	1
ofav100415	0	0	0	0	0	0
ofav100419	3	2	12	3	5	3
ofav100429	0	0	2	0	0	0
ofav100459	0	0	0	0	0	0
ofav100468	2	0	1	2	0	1
ofav100479	0	0	0	0	0	0
ofav100505	0	0	0	0	0	2
ofav100515	0	0	0	0	2	1
ofav10053	0	0	0	0	0	0
ofav100532	1	0	1	0	0	0
ofav10054	0	0	0	0	0	0
ofav100561	0	0	0	0	0	0
ofav10057	0	0	6	3	2	3
ofav100571	0	0	0	1	0	1
ofav100578	0	0	1	0	0	1
ofav10058	0	0	0	0	0	0
ofav100589	0	0	0	0	0	0
ofav100591	0	0	0	0	0	0
ofav100596	0	0	1	1	0	0
ofav10061	0	0	0	0	0	0
ofav100636	0	0	0	0	0	1
ofav10065	0	0	0	0	0	0
ofav100658	0	0	2	0	0	0
ofav100664	0	0	0	1	0	0
ofav100681	0	0	1	0	0	0
ofav100694	0	0	0	0	0	0
ofav1007	0	0	0	0	0	0
ofav10070	1	1	3	4	4	2
ofav100748	0	1	3	1	1	0
ofav100755	0	0	2	1	0	0
ofav100762	0	0	0	0	0	1
ofav10079	0	0	0	1	0	0
ofav100825	0	0	0	0	0	0
ofav100839	0	0	2	0	0	1
ofav100854	0	0	2	8	0	2
ofav10087	0	0	0	0	0	0
ofav10088	0	0	0	0	0	0
ofav100898	0	0	0	0	0	0
ofav100922	0	0	1	0	0	0
ofav100929	0	0	0	1	0	0
ofav100939	0	0	0	0	0	0
ofav100940	0	0	0	1	0	0
ofav100995	0	0	2	0	0	0
ofav1010	0	0	0	0	0	0
ofav101030	0	0	0	0	0	0
ofav101037	0	0	2	0	0	0
ofav10105	0	0	0	0	0	0
ofav101052	0	0	0	0	0	1
ofav101066	0	0	1	0	0	0
ofav101071	0	0	0	0	0	0
ofav101073	0	0	2	0	0	3
ofav101074	0	0	2	3	1	4
ofav1011	0	0	1	0	0	0
ofav10110	0	0	0	0	0	1
ofav101108	0	0	0	0	0	0
ofav101125	0	0	0	0	0	0
ofav101149	0	0	0	0	0	0
ofav101159	0	0	0	0	0	0
ofav10116	0	0	0	1	1	1
ofav10118	1	8	15	3	1	0
ofav10119	0	0	1	0	0	0
ofav101194	0	0	0	0	0	0
ofav101210	0	0	0	0	0	0
ofav101228	0	0	0	0	0	0
ofav101232	0	0	0	1	0	1
ofav101263	0	0	0	0	0	0
ofav101278	0	0	1	1	0	0
ofav10131	0	0	0	0	0	0
ofav10132	0	0	0	0	0	2
ofav101321	0	1	1	0	0	0
ofav10133	0	0	0	0	0	0
ofav101375	1	0	0	1	2	1
ofav10138	0	0	0	0	0	0
ofav101425	0	0	0	0	1	0
ofav10143	0	0	0	1	0	0
ofav101471	0	0	0	0	0	0
ofav101479	0	0	0	0	2	0
ofav1015	0	0	1	0	0	2
ofav101539	0	0	2	1	0	0
ofav10155	5	4	20	9	4	10
ofav101568	0	1	0	0	0	0
ofav10158	205	111	73	90	117	73
ofav10162	62	18	41	106	28	56
ofav101648	0	0	0	0	0	1
ofav101649	0	1	1	0	1	0
ofav101651	0	0	0	0	0	0
ofav101657	0	0	1	2	0	1
ofav101717	0	0	1	1	0	0
ofav101745	0	0	0	0	0	0
ofav101748	0	2	1	1	2	5
ofav101770	0	0	0	0	0	0
ofav101812	0	0	0	0	0	0
ofav101843	1	1	0	0	0	1
ofav101865	0	1	0	0	0	0
ofav101878	0	0	1	0	0	0
ofav101880	0	0	0	0	0	1
ofav10189	1	3	6	5	3	4
ofav101890	0	0	1	2	0	2
ofav101904	0	0	0	0	0	0
ofav10192	15	2	35	16	3	47
ofav101948	0	0	0	0	0	0
ofav10195	0	0	1	0	0	0
ofav101962	0	0	0	0	0	0
ofav101965	0	2	0	0	0	0
ofav101974	0	0	0	0	0	0
ofav102004	0	0	0	0	0	0
ofav102026	0	0	0	0	0	0
ofav102027	0	0	0	0	0	0
ofav102033	0	0	0	0	0	0
ofav102071	0	0	0	0	0	0
ofav102078	0	1	0	0	0	0
ofav102087	2	0	6	0	0	1
ofav10209	4	0	3	1	2	11
ofav102105	0	0	0	1	0	2
ofav102113	0	0	1	0	1	0
ofav102116	0	0	0	0	0	0
ofav102159	8	0	1	0	0	1
